Name,Type,admin1Name,Ownership,Latitude,Longitude
Geshe Health Post #2,Health Post,Oromia,Public/Government,8.1083956,36.4820386
Wachu Woltane Health Post #2,Health Post,Oromia,Public/Government,9.134578,40.950046
Elemo Health Center #2,Health Center,Oromia,Public/Government,8.4663168,35.8170455
Hidi Health Center #2,Health Center,Oromia,Public/Government,8.7918668,39.0832939
Balle Dorani Health Center #2,Health Center,Oromia,Public/Government,7.087005700000001,40.5157225
Feresbet Primery Hospital #2,Hospital,Amhara,Public/Government,10.8574161,37.6050263
Megele 29 Health Post #2,Health Post,Benishangul Gumz,Public/Government,10.0422623,34.5483978
Sorya  Health Post #2,Health Post,Tigray,Public/Government,12.383567,39.295735
Sugelitinen Health Post #2,Health Post,Benishangul Gumz,Public/Government,10.7178954,34.7695473
Hintsa Health Post #2,Health Post,Tigray,Public/Government,13.3145836,39.1752353
Dishi Geter Health Post #2,Health Post,South West Ethiopia,Public/Government,6.9603845,36.1907421
May Kuhli Health Center #2,Health Center,Tigray,Public/Government,14.215291,37.7308677
Gerhu Srnay Health Center #2,Health Center,Tigray,Public/Government,14.493671,39.1719197
Jidane Health Post #2,Health Post,Somali,Public/Government,9.6479514,41.8165267
Qaydar Health Post #2,Health Post,Somali,Public/Government,9.1083392,43.2280045
Legge Oda Mirga Health Post #3,Health Post,Dire Dawa,Public/Government,9.4918067,41.8484739
Mudi Aneno Health Post #3,Health Post,Dire Dawa,Public/Government,9.6405039,41.9069291
Abubeker Muti Health Post #3,Health Post,Harari,Public/Government,9.344547400000002,42.1121001
Kirkire Health Post #3,Health Post,Dire Dawa,Public/Government,9.5197812,41.742977800000006
Awoberkele Comprehensive Health Post #3,Health Post,Harari,Public/Government,9.3159552,42.1067323
Efoyita Health Center #3,Health Center,Addis Ababa,Public/Government,8.9960021,38.7731171
Addis Ketema Health Center #3,Health Center,Dire Dawa,Public/Government,9.5834558,41.8681215
Bokoji Primary Hospital #3,Hospital,Oromia,Public/Government,7.546733,39.256232
Dembi Dollo Compernsive Specialized Hospital #3,Hospital,Oromia,Public/Government,8.523316000000003,34.809909000000005
Inemay Gemer Health Post #3,Health Post,Oromia,Public/Government,9.454818,35.646081
Danecho Health Post #3,Health Post,SNNP,Public/Government,7.976708599999999,38.2646212
Sibu Ebicha Health Post #3,Health Post,Oromia,Public/Government,9.247834,35.614077
Ynesa Lmrt Health Post #3,Health Post,Amhara,Public/Government,11.4082549,37.155262400000005
Tach Arisho Health Post #3,Health Post,SNNP,Public/Government,7.288548899999999,37.9973114
Hurumu Jibat Health Post #3,Health Post,Oromia,Public/Government,8.616993,37.433467
Geshe Health Post #3,Health Post,Oromia,Public/Government,8.109395600000001,36.4830386
Wachu Woltane Health Post #3,Health Post,Oromia,Public/Government,9.135578,40.951046000000005
Elemo Health Center #3,Health Center,Oromia,Public/Government,8.4673168,35.818045500000004
Hidi Health Center #3,Health Center,Oromia,Public/Government,8.7928668,39.084293900000006
Balle Dorani Health Center #3,Health Center,Oromia,Public/Government,7.0880057,40.5167225
Feresbet Primery Hospital #3,Hospital,Amhara,Public/Government,10.8584161,37.6060263
Megele 29 Health Post #3,Health Post,Benishangul Gumz,Public/Government,10.0432623,34.5493978
Sorya  Health Post #3,Health Post,Tigray,Public/Government,12.384567,39.296735000000005
Sugelitinen Health Post #3,Health Post,Benishangul Gumz,Public/Government,10.7188954,34.770547300000004
Hintsa Health Post #3,Health Post,Tigray,Public/Government,13.3155836,39.1762353
Dishi Geter Health Post #3,Health Post,South West Ethiopia,Public/Government,6.961384499999999,36.1917421
May Kuhli Health Center #3,Health Center,Tigray,Public/Government,14.216291,37.7318677
Gerhu Srnay Health Center #3,Health Center,Tigray,Public/Government,14.494671,39.1729197
Jidane Health Post #3,Health Post,Somali,Public/Government,9.6489514,41.8175267
Qaydar Health Post #3,Health Post,Somali,Public/Government,9.1093392,43.2290045
Legge Oda Mirga Health Post #4,Health Post,Dire Dawa,Public/Government,9.4928067,41.8494739
Mudi Aneno Health Post #4,Health Post,Dire Dawa,Public/Government,9.6415039,41.9079291
Abubeker Muti Health Post #4,Health Post,Harari,Public/Government,9.3455474,42.1131001
Kirkire Health Post #4,Health Post,Dire Dawa,Public/Government,9.5207812,41.7439778
Awoberkele Comprehensive Health Post #4,Health Post,Harari,Public/Government,9.3169552,42.1077323
Efoyita Health Center #4,Health Center,Addis Ababa,Public/Government,8.9970021,38.7741171
Addis Ketema Health Center #4,Health Center,Dire Dawa,Public/Government,9.5844558,41.8691215
Bokoji Primary Hospital #4,Hospital,Oromia,Public/Government,7.547733,39.257232
Dembi Dollo Compernsive Specialized Hospital #4,Hospital,Oromia,Public/Government,8.524316000000002,34.810909
Inemay Gemer Health Post #4,Health Post,Oromia,Public/Government,9.455818,35.647081
Danecho Health Post #4,Health Post,SNNP,Public/Government,7.9777086,38.2656212
Sibu Ebicha Health Post #4,Health Post,Oromia,Public/Government,9.248834,35.615077
Ynesa Lmrt Health Post #4,Health Post,Amhara,Public/Government,11.4092549,37.1562624
Tach Arisho Health Post #4,Health Post,SNNP,Public/Government,7.2895489,37.9983114
Hurumu Jibat Health Post #4,Health Post,Oromia,Public/Government,8.617993,37.434467
Geshe Health Post #4,Health Post,Oromia,Public/Government,8.1103956,36.4840386
Wachu Woltane Health Post #4,Health Post,Oromia,Public/Government,9.136578,40.952046
Elemo Health Center #4,Health Center,Oromia,Public/Government,8.4683168,35.8190455
Hidi Health Center #4,Health Center,Oromia,Public/Government,8.7938668,39.0852939
Balle Dorani Health Center #4,Health Center,Oromia,Public/Government,7.0890057,40.5177225
Feresbet Primery Hospital #4,Hospital,Amhara,Public/Government,10.8594161,37.6070263
Megele 29 Health Post #4,Health Post,Benishangul Gumz,Public/Government,10.0442623,34.5503978
Sorya  Health Post #4,Health Post,Tigray,Public/Government,12.385567,39.297735
Sugelitinen Health Post #4,Health Post,Benishangul Gumz,Public/Government,10.7198954,34.7715473
Hintsa Health Post #4,Health Post,Tigray,Public/Government,13.3165836,39.1772353
Dishi Geter Health Post #4,Health Post,South West Ethiopia,Public/Government,6.9623845,36.1927421
May Kuhli Health Center #4,Health Center,Tigray,Public/Government,14.217291,37.7328677
Gerhu Srnay Health Center #4,Health Center,Tigray,Public/Government,14.495671,39.1739197
Jidane Health Post #4,Health Post,Somali,Public/Government,9.6499514,41.8185267
Qaydar Health Post #4,Health Post,Somali,Public/Government,9.1103392,43.2300045
Legge Oda Mirga Health Post #5,Health Post,Dire Dawa,Public/Government,9.4938067,41.8504739
Mudi Aneno Health Post #5,Health Post,Dire Dawa,Public/Government,9.6425039,41.9089291
Abubeker Muti Health Post #5,Health Post,Harari,Public/Government,9.3465474,42.1141001
Kirkire Health Post #5,Health Post,Dire Dawa,Public/Government,9.5217812,41.7449778
Awoberkele Comprehensive Health Post #5,Health Post,Harari,Public/Government,9.3179552,42.1087323
Efoyita Health Center #5,Health Center,Addis Ababa,Public/Government,8.998002099999999,38.7751171
Addis Ketema Health Center #5,Health Center,Dire Dawa,Public/Government,9.5854558,41.8701215
Bokoji Primary Hospital #5,Hospital,Oromia,Public/Government,7.548732999999999,39.258232
Dembi Dollo Compernsive Specialized Hospital #5,Hospital,Oromia,Public/Government,8.525316000000002,34.811909
Inemay Gemer Health Post #5,Health Post,Oromia,Public/Government,9.456818,35.648081
Danecho Health Post #5,Health Post,SNNP,Public/Government,7.978708599999999,38.2666212
Sibu Ebicha Health Post #5,Health Post,Oromia,Public/Government,9.249834,35.616077
Ynesa Lmrt Health Post #5,Health Post,Amhara,Public/Government,11.4102549,37.1572624
Tach Arisho Health Post #5,Health Post,SNNP,Public/Government,7.290548899999999,37.9993114
Hurumu Jibat Health Post #5,Health Post,Oromia,Public/Government,8.618993,37.435467
Geshe Health Post #5,Health Post,Oromia,Public/Government,8.1113956,36.4850386
Wachu Woltane Health Post #5,Health Post,Oromia,Public/Government,9.137578,40.953046
Elemo Health Center #5,Health Center,Oromia,Public/Government,8.4693168,35.8200455
Hidi Health Center #5,Health Center,Oromia,Public/Government,8.7948668,39.0862939
Balle Dorani Health Center #5,Health Center,Oromia,Public/Government,7.0900057,40.5187225
Feresbet Primery Hospital #5,Hospital,Amhara,Public/Government,10.8604161,37.6080263
Megele 29 Health Post #5,Health Post,Benishangul Gumz,Public/Government,10.0452623,34.5513978
Sorya  Health Post #5,Health Post,Tigray,Public/Government,12.386567,39.298735
Sugelitinen Health Post #5,Health Post,Benishangul Gumz,Public/Government,10.7208954,34.7725473
Hintsa Health Post #5,Health Post,Tigray,Public/Government,13.3175836,39.1782353
Dishi Geter Health Post #5,Health Post,South West Ethiopia,Public/Government,6.963384499999999,36.1937421
May Kuhli Health Center #5,Health Center,Tigray,Public/Government,14.218291,37.7338677
Gerhu Srnay Health Center #5,Health Center,Tigray,Public/Government,14.496671,39.1749197
Jidane Health Post #5,Health Post,Somali,Public/Government,9.6509514,41.8195267
Qaydar Health Post #5,Health Post,Somali,Public/Government,9.1113392,43.2310045
Legge Oda Mirga Health Post #6,Health Post,Dire Dawa,Public/Government,9.494806700000002,41.8514739
Mudi Aneno Health Post #6,Health Post,Dire Dawa,Public/Government,9.6435039,41.9099291
Abubeker Muti Health Post #6,Health Post,Harari,Public/Government,9.347547400000002,42.1151001
Kirkire Health Post #6,Health Post,Dire Dawa,Public/Government,9.5227812,41.745977800000006
Awoberkele Comprehensive Health Post #6,Health Post,Harari,Public/Government,9.3189552,42.109732300000005
Efoyita Health Center #6,Health Center,Addis Ababa,Public/Government,8.9990021,38.7761171
Addis Ketema Health Center #6,Health Center,Dire Dawa,Public/Government,9.5864558,41.8711215
Bokoji Primary Hospital #6,Hospital,Oromia,Public/Government,7.549733,39.259232
Dembi Dollo Compernsive Specialized Hospital #6,Hospital,Oromia,Public/Government,8.526316000000003,34.812909000000005
Inemay Gemer Health Post #6,Health Post,Oromia,Public/Government,9.457818,35.649081
Danecho Health Post #6,Health Post,SNNP,Public/Government,7.979708599999999,38.2676212
Sibu Ebicha Health Post #6,Health Post,Oromia,Public/Government,9.250834,35.617077
Ynesa Lmrt Health Post #6,Health Post,Amhara,Public/Government,11.4112549,37.158262400000005
Tach Arisho Health Post #6,Health Post,SNNP,Public/Government,7.291548899999999,38.0003114
Hurumu Jibat Health Post #6,Health Post,Oromia,Public/Government,8.619993000000001,37.436467
Geshe Health Post #6,Health Post,Oromia,Public/Government,8.112395600000001,36.4860386
Wachu Woltane Health Post #6,Health Post,Oromia,Public/Government,9.138578,40.954046000000005
Elemo Health Center #6,Health Center,Oromia,Public/Government,8.4703168,35.821045500000004
Hidi Health Center #6,Health Center,Oromia,Public/Government,8.7958668,39.087293900000006
Balle Dorani Health Center #6,Health Center,Oromia,Public/Government,7.0910057,40.5197225
Feresbet Primery Hospital #6,Hospital,Amhara,Public/Government,10.8614161,37.6090263
Megele 29 Health Post #6,Health Post,Benishangul Gumz,Public/Government,10.0462623,34.5523978
Sorya  Health Post #6,Health Post,Tigray,Public/Government,12.387567,39.299735000000005
Sugelitinen Health Post #6,Health Post,Benishangul Gumz,Public/Government,10.7218954,34.773547300000004
Hintsa Health Post #6,Health Post,Tigray,Public/Government,13.3185836,39.1792353
Dishi Geter Health Post #6,Health Post,South West Ethiopia,Public/Government,6.9643845,36.1947421
May Kuhli Health Center #6,Health Center,Tigray,Public/Government,14.219291,37.7348677
Gerhu Srnay Health Center #6,Health Center,Tigray,Public/Government,14.497671,39.1759197
Jidane Health Post #6,Health Post,Somali,Public/Government,9.651951400000002,41.8205267
Qaydar Health Post #6,Health Post,Somali,Public/Government,9.1123392,43.2320045
Legge Oda Mirga Health Post #7,Health Post,Dire Dawa,Public/Government,9.4958067,41.8524739
Mudi Aneno Health Post #7,Health Post,Dire Dawa,Public/Government,9.6445039,41.9109291
Abubeker Muti Health Post #7,Health Post,Harari,Public/Government,9.3485474,42.1161001
Kirkire Health Post #7,Health Post,Dire Dawa,Public/Government,9.5237812,41.7469778
Awoberkele Comprehensive Health Post #7,Health Post,Harari,Public/Government,9.3199552,42.1107323
Efoyita Health Center #7,Health Center,Addis Ababa,Public/Government,9.0000021,38.7771171
Addis Ketema Health Center #7,Health Center,Dire Dawa,Public/Government,9.5874558,41.8721215
Bokoji Primary Hospital #7,Hospital,Oromia,Public/Government,7.550733,39.260232
Dembi Dollo Compernsive Specialized Hospital #7,Hospital,Oromia,Public/Government,8.527316000000003,34.813909
Inemay Gemer Health Post #7,Health Post,Oromia,Public/Government,9.458818,35.650081
Danecho Health Post #7,Health Post,SNNP,Public/Government,7.9807086,38.2686212
Sibu Ebicha Health Post #7,Health Post,Oromia,Public/Government,9.251834,35.618077
Ynesa Lmrt Health Post #7,Health Post,Amhara,Public/Government,11.4122549,37.1592624
Tach Arisho Health Post #7,Health Post,SNNP,Public/Government,7.2925489,38.0013114
Hurumu Jibat Health Post #7,Health Post,Oromia,Public/Government,8.620993,37.437467
Geshe Health Post #7,Health Post,Oromia,Public/Government,8.1133956,36.4870386
Wachu Woltane Health Post #7,Health Post,Oromia,Public/Government,9.139578,40.955046
Elemo Health Center #7,Health Center,Oromia,Public/Government,8.4713168,35.8220455
Hidi Health Center #7,Health Center,Oromia,Public/Government,8.7968668,39.0882939
Balle Dorani Health Center #7,Health Center,Oromia,Public/Government,7.0920057000000005,40.5207225
Feresbet Primery Hospital #7,Hospital,Amhara,Public/Government,10.8624161,37.6100263
Megele 29 Health Post #7,Health Post,Benishangul Gumz,Public/Government,10.0472623,34.5533978
Sorya  Health Post #7,Health Post,Tigray,Public/Government,12.388567,39.300735
Sugelitinen Health Post #7,Health Post,Benishangul Gumz,Public/Government,10.7228954,34.7745473
Hintsa Health Post #7,Health Post,Tigray,Public/Government,13.3195836,39.1802353
Dishi Geter Health Post #7,Health Post,South West Ethiopia,Public/Government,6.9653845,36.1957421
May Kuhli Health Center #7,Health Center,Tigray,Public/Government,14.220291,37.7358677
Gerhu Srnay Health Center #7,Health Center,Tigray,Public/Government,14.498671,39.1769197
Jidane Health Post #7,Health Post,Somali,Public/Government,9.6529514,41.8215267
Qaydar Health Post #7,Health Post,Somali,Public/Government,9.1133392,43.2330045
Legge Oda Mirga Health Post #8,Health Post,Dire Dawa,Public/Government,9.4968067,41.8534739
Mudi Aneno Health Post #8,Health Post,Dire Dawa,Public/Government,9.6455039,41.9119291
Abubeker Muti Health Post #8,Health Post,Harari,Public/Government,9.3495474,42.1171001
Kirkire Health Post #8,Health Post,Dire Dawa,Public/Government,9.5247812,41.7479778
Awoberkele Comprehensive Health Post #8,Health Post,Harari,Public/Government,9.3209552,42.1117323
Efoyita Health Center #8,Health Center,Addis Ababa,Public/Government,9.0010021,38.7781171
Addis Ketema Health Center #8,Health Center,Dire Dawa,Public/Government,9.5884558,41.8731215
Bokoji Primary Hospital #8,Hospital,Oromia,Public/Government,7.551733,39.261232
Dembi Dollo Compernsive Specialized Hospital #8,Hospital,Oromia,Public/Government,8.528316000000002,34.814909
Inemay Gemer Health Post #8,Health Post,Oromia,Public/Government,9.459818,35.651081
Danecho Health Post #8,Health Post,SNNP,Public/Government,7.981708599999999,38.2696212
Sibu Ebicha Health Post #8,Health Post,Oromia,Public/Government,9.252834,35.619077
Ynesa Lmrt Health Post #8,Health Post,Amhara,Public/Government,11.4132549,37.1602624
Tach Arisho Health Post #8,Health Post,SNNP,Public/Government,7.293548899999999,38.0023114
Hurumu Jibat Health Post #8,Health Post,Oromia,Public/Government,8.621993,37.438467
Geshe Health Post #8,Health Post,Oromia,Public/Government,8.1143956,36.4880386
Wachu Woltane Health Post #8,Health Post,Oromia,Public/Government,9.140578,40.956046
Elemo Health Center #8,Health Center,Oromia,Public/Government,8.4723168,35.8230455
Hidi Health Center #8,Health Center,Oromia,Public/Government,8.7978668,39.0892939
Balle Dorani Health Center #8,Health Center,Oromia,Public/Government,7.0930057,40.5217225
Feresbet Primery Hospital #8,Hospital,Amhara,Public/Government,10.8634161,37.6110263
Megele 29 Health Post #8,Health Post,Benishangul Gumz,Public/Government,10.0482623,34.5543978
Sorya  Health Post #8,Health Post,Tigray,Public/Government,12.389567,39.301735
Sugelitinen Health Post #8,Health Post,Benishangul Gumz,Public/Government,10.7238954,34.7755473
Hintsa Health Post #8,Health Post,Tigray,Public/Government,13.3205836,39.1812353
Dishi Geter Health Post #8,Health Post,South West Ethiopia,Public/Government,6.966384499999999,36.1967421
May Kuhli Health Center #8,Health Center,Tigray,Public/Government,14.221291,37.7368677
Gerhu Srnay Health Center #8,Health Center,Tigray,Public/Government,14.499671,39.1779197
Jidane Health Post #8,Health Post,Somali,Public/Government,9.6539514,41.8225267
Qaydar Health Post #8,Health Post,Somali,Public/Government,9.1143392,43.2340045
Legge Oda Mirga Health Post #9,Health Post,Dire Dawa,Public/Government,9.4978067,41.8544739
Mudi Aneno Health Post #9,Health Post,Dire Dawa,Public/Government,9.6465039,41.9129291
Abubeker Muti Health Post #9,Health Post,Harari,Public/Government,9.3505474,42.1181001
Kirkire Health Post #9,Health Post,Dire Dawa,Public/Government,9.5257812,41.748977800000006
Awoberkele Comprehensive Health Post #9,Health Post,Harari,Public/Government,9.3219552,42.112732300000005
Efoyita Health Center #9,Health Center,Addis Ababa,Public/Government,9.002002099999999,38.7791171
Addis Ketema Health Center #9,Health Center,Dire Dawa,Public/Government,9.5894558,41.8741215
Bokoji Primary Hospital #9,Hospital,Oromia,Public/Government,7.552733,39.262232
Dembi Dollo Compernsive Specialized Hospital #9,Hospital,Oromia,Public/Government,8.529316000000001,34.815909000000005
Inemay Gemer Health Post #9,Health Post,Oromia,Public/Government,9.460818,35.652081
Danecho Health Post #9,Health Post,SNNP,Public/Government,7.9827086,38.2706212
Sibu Ebicha Health Post #9,Health Post,Oromia,Public/Government,9.253834,35.620077
Ynesa Lmrt Health Post #9,Health Post,Amhara,Public/Government,11.4142549,37.161262400000005
Tach Arisho Health Post #9,Health Post,SNNP,Public/Government,7.2945489,38.0033114
Hurumu Jibat Health Post #9,Health Post,Oromia,Public/Government,8.622993,37.439467
Geshe Health Post #9,Health Post,Oromia,Public/Government,8.1153956,36.4890386
Wachu Woltane Health Post #9,Health Post,Oromia,Public/Government,9.141578,40.957046000000005
Elemo Health Center #9,Health Center,Oromia,Public/Government,8.4733168,35.824045500000004
Hidi Health Center #9,Health Center,Oromia,Public/Government,8.798866799999999,39.090293900000006
Balle Dorani Health Center #9,Health Center,Oromia,Public/Government,7.0940057,40.5227225
Feresbet Primery Hospital #9,Hospital,Amhara,Public/Government,10.8644161,37.6120263
Megele 29 Health Post #9,Health Post,Benishangul Gumz,Public/Government,10.0492623,34.5553978
Sorya  Health Post #9,Health Post,Tigray,Public/Government,12.390567,39.302735000000006
Sugelitinen Health Post #9,Health Post,Benishangul Gumz,Public/Government,10.7248954,34.776547300000004
Hintsa Health Post #9,Health Post,Tigray,Public/Government,13.3215836,39.1822353
Dishi Geter Health Post #9,Health Post,South West Ethiopia,Public/Government,6.9673845,36.1977421
May Kuhli Health Center #9,Health Center,Tigray,Public/Government,14.222290999999998,37.7378677
Gerhu Srnay Health Center #9,Health Center,Tigray,Public/Government,14.500671,39.1789197
Jidane Health Post #9,Health Post,Somali,Public/Government,9.6549514,41.8235267
Qaydar Health Post #9,Health Post,Somali,Public/Government,9.1153392,43.2350045
Legge Oda Mirga Health Post #10,Health Post,Dire Dawa,Public/Government,9.4988067,41.8554739
Mudi Aneno Health Post #10,Health Post,Dire Dawa,Public/Government,9.6475039,41.9139291
Abubeker Muti Health Post #10,Health Post,Harari,Public/Government,9.3515474,42.1191001
Kirkire Health Post #10,Health Post,Dire Dawa,Public/Government,9.5267812,41.7499778
Awoberkele Comprehensive Health Post #10,Health Post,Harari,Public/Government,9.3229552,42.1137323
Efoyita Health Center #10,Health Center,Addis Ababa,Public/Government,9.0030021,38.7801171
Addis Ketema Health Center #10,Health Center,Dire Dawa,Public/Government,9.5904558,41.8751215
Bokoji Primary Hospital #10,Hospital,Oromia,Public/Government,7.553733,39.263232
Dembi Dollo Compernsive Specialized Hospital #10,Hospital,Oromia,Public/Government,8.530316000000003,34.816909
Inemay Gemer Health Post #10,Health Post,Oromia,Public/Government,9.461818,35.653081
Danecho Health Post #10,Health Post,SNNP,Public/Government,7.9837086,38.2716212
Sibu Ebicha Health Post #10,Health Post,Oromia,Public/Government,9.254834,35.621077
Ynesa Lmrt Health Post #10,Health Post,Amhara,Public/Government,11.4152549,37.1622624
Tach Arisho Health Post #10,Health Post,SNNP,Public/Government,7.2955489,38.0043114
Hurumu Jibat Health Post #10,Health Post,Oromia,Public/Government,8.623993,37.440467
Geshe Health Post #10,Health Post,Oromia,Public/Government,8.1163956,36.4900386
Wachu Woltane Health Post #10,Health Post,Oromia,Public/Government,9.142578,40.958046
Elemo Health Center #10,Health Center,Oromia,Public/Government,8.4743168,35.8250455
Hidi Health Center #10,Health Center,Oromia,Public/Government,8.7998668,39.0912939
Balle Dorani Health Center #10,Health Center,Oromia,Public/Government,7.095005700000001,40.5237225
Feresbet Primery Hospital #10,Hospital,Amhara,Public/Government,10.8654161,37.6130263
Megele 29 Health Post #10,Health Post,Benishangul Gumz,Public/Government,10.0502623,34.5563978
Sorya  Health Post #10,Health Post,Tigray,Public/Government,12.391567,39.303735
Sugelitinen Health Post #10,Health Post,Benishangul Gumz,Public/Government,10.7258954,34.7775473
Hintsa Health Post #10,Health Post,Tigray,Public/Government,13.3225836,39.1832353
Dishi Geter Health Post #10,Health Post,South West Ethiopia,Public/Government,6.9683845,36.1987421
May Kuhli Health Center #10,Health Center,Tigray,Public/Government,14.223291,37.7388677
Gerhu Srnay Health Center #10,Health Center,Tigray,Public/Government,14.501671,39.1799197
Jidane Health Post #10,Health Post,Somali,Public/Government,9.6559514,41.8245267
Qaydar Health Post #10,Health Post,Somali,Public/Government,9.1163392,43.2360045
Legge Oda Mirga Health Post #11,Health Post,Dire Dawa,Public/Government,9.4998067,41.8564739
Mudi Aneno Health Post #11,Health Post,Dire Dawa,Public/Government,9.6485039,41.9149291
Abubeker Muti Health Post #11,Health Post,Harari,Public/Government,9.3525474,42.1201001
Kirkire Health Post #11,Health Post,Dire Dawa,Public/Government,9.5277812,41.7509778
Awoberkele Comprehensive Health Post #11,Health Post,Harari,Public/Government,9.3239552,42.1147323
Efoyita Health Center #11,Health Center,Addis Ababa,Public/Government,9.0040021,38.7811171
Addis Ketema Health Center #11,Health Center,Dire Dawa,Public/Government,9.5914558,41.8761215
Bokoji Primary Hospital #11,Hospital,Oromia,Public/Government,7.554733,39.264232
Dembi Dollo Compernsive Specialized Hospital #11,Hospital,Oromia,Public/Government,8.531316000000002,34.817909
Inemay Gemer Health Post #11,Health Post,Oromia,Public/Government,9.462818,35.654081
Danecho Health Post #11,Health Post,SNNP,Public/Government,7.984708599999999,38.2726212
Sibu Ebicha Health Post #11,Health Post,Oromia,Public/Government,9.255834,35.622077
Ynesa Lmrt Health Post #11,Health Post,Amhara,Public/Government,11.4162549,37.1632624
Tach Arisho Health Post #11,Health Post,SNNP,Public/Government,7.296548899999999,38.0053114
Hurumu Jibat Health Post #11,Health Post,Oromia,Public/Government,8.624993,37.441467
Geshe Health Post #11,Health Post,Oromia,Public/Government,8.1173956,36.4910386
Wachu Woltane Health Post #11,Health Post,Oromia,Public/Government,9.143578,40.959046
Elemo Health Center #11,Health Center,Oromia,Public/Government,8.4753168,35.8260455
Hidi Health Center #11,Health Center,Oromia,Public/Government,8.8008668,39.0922939
Balle Dorani Health Center #11,Health Center,Oromia,Public/Government,7.0960057,40.5247225
Feresbet Primery Hospital #11,Hospital,Amhara,Public/Government,10.8664161,37.6140263
Megele 29 Health Post #11,Health Post,Benishangul Gumz,Public/Government,10.0512623,34.5573978
Sorya  Health Post #11,Health Post,Tigray,Public/Government,12.392567,39.304735
Sugelitinen Health Post #11,Health Post,Benishangul Gumz,Public/Government,10.7268954,34.7785473
Hintsa Health Post #11,Health Post,Tigray,Public/Government,13.3235836,39.1842353
